Fecha,ralenti_total_h,ralenti_h_sim,reduccion,viajes_dia,dist_total_dia,unidades_activas,weekday,month,pred
2025-06-30,950.5974074074074,971.7714500448028,-21.174042637395477,330,330,126,0,6,974.429478412756
2025-07-01,1058.3757795698923,1083.456839680406,-25.08106011051359,321,321,125,1,7,1108.082620410255
2025-07-02,1026.330376344086,1046.16528098865,-19.83490464456395,284,284,108,2,7,1006.0631550443156
2025-07-03,1059.1280197132617,1076.529427270012,-17.4014075567502,301,301,117,3,7,1039.890477161391
2025-07-04,1105.4992025089605,1116.017002538829,-10.517800029868567,317,317,112,4,7,1059.475673568759
2025-07-05,955.5817741935484,966.1076257147124,-10.525851521163986,281,281,113,5,7,959.9537804312153
2025-07-06,744.5732885304659,749.867564665472,-5.294276135006044,216,216,90,6,7,704.2321639726606
2025-07-07,938.123422939068,957.8809432283666,-19.757520289298554,311,311,117,0,7,943.9454013218162
2025-07-08,1345.7055734767025,1368.5090430747568,-22.80346959805433,371,371,124,1,7,1261.8819448062131
2025-07-09,1192.3065501792114,1209.567236111111,-17.260685931899616,321,321,119,2,7,1155.2529481130791
2025-07-10,1208.394265232975,1222.253020609319,-13.858755376344106,334,334,123,3,7,1176.9662021385952
2025-07-11,1254.715958781362,1266.49654567759,-11.780586896228217,345,345,126,4,7,1210.2310638726774
2025-07-12,1106.0737724014336,1124.8954475593105,-18.821675157876825,284,284,101,5,7,1041.0306775464517
2025-07-13,765.8725627240143,780.42936526071,-14.556802536695727,279,279,108,6,7,845.5593787497046
2025-07-14,990.8991487455196,1014.81603823178,-23.9168894862604,277,277,114,0,7,907.2571680087466
2025-07-15,1082.9843369175628,1091.3884074074074,-8.404070489844571,295,295,117,1,7,997.5937401732796
2025-07-16,1280.688951612903,1293.9945070617853,-13.30555544888216,336,336,122,2,7,1145.9937918471533
2025-07-17,1226.8166218637994,1247.6684758277863,-20.85185396398697,318,318,121,3,7,1139.6905347732345
2025-07-18,954.9498028673836,979.0004639230244,-24.050661055640944,302,302,122,4,7,1033.3095202597597
2025-07-19,1047.193799283154,1066.2910183691756,-19.0972190860216,300,300,112,5,7,1030.8312134156142
2025-07-20,545.1686917562724,554.2686941457587,-9.100002389486235,175,175,73,6,7,530.0791682160823
2025-07-21,948.7838620071684,957.0604439964158,-8.276581989247347,286,286,109,0,7,937.655333504968
2025-07-22,1227.863476702509,1246.8651328405017,-19.001656137992768,327,327,125,1,7,1111.4433945054768
2025-07-23,1091.803835125448,1107.366572879331,-15.562737753883084,314,314,126,2,7,1146.847994983999
2025-07-24,1182.094229390681,1197.1588802270012,-15.064650836320196,350,350,119,3,7,1162.3556534059408
2025-07-25,1295.3857616487455,1311.963394393241,-16.57763274449553,333,333,115,4,7,1061.001844813999
2025-07-26,1139.3580913978494,1159.089011051374,-19.730919653524552,297,297,108,5,7,1010.7668314274114
2025-07-27,635.8891935483871,655.9419165813279,-20.052723032940776,191,191,79,6,7,586.1783308376077
2025-07-28,1298.7913888888888,1320.443387523468,-21.65199863457929,391,391,142,0,7,1228.8343107250455
2025-07-29,1368.5373387096774,1391.3392907706093,-22.801952060931853,395,395,117,1,7,1134.3954174763385
2025-07-30,1217.1774551971323,1226.4989068100358,-9.321451612903276,313,313,111,2,7,1027.8302774441986
2025-07-31,1028.1961379928316,1043.081396953405,-14.88525896057331,289,289,118,3,7,1028.7659798512834
2025-08-01,1244.4241845878137,1259.5454227897253,-15.121238201911638,296,296,114,4,8,989.3662059440514
2025-08-02,989.1972311827956,1004.31475672043,-15.117525537634378,286,286,111,5,8,1017.795070095946
2025-08-03,747.0237096774193,760.668394446578,-13.64468476915863,233,233,101,6,8,680.8897632355004
2025-08-04,967.05291218638,986.604684417136,-19.551772230756114,272,272,111,0,8,949.2162086677188
2025-08-05,1486.654758064516,1509.9457774257553,-23.29101936123925,417,417,133,1,8,1261.4756651732068
2025-08-06,1308.331711469534,1325.5575528353816,-17.2258413658476,348,348,128,2,8,1219.4551703837444
2025-08-07,1106.6442383512544,1137.2350961234852,-30.59085777223072,308,308,108,3,8,1017.7272856521269
2025-08-08,978.1475448028674,999.0903139827616,-20.942769179894185,271,271,111,4,8,962.6414791760892
2025-08-09,995.1837813620072,1008.3143082437276,-13.13052688172047,257,257,108,5,8,746.4332483936391
2025-08-10,692.8983602150538,703.6115346475508,-10.713174432497,182,182,81,6,8,534.418186501295
2025-08-11,818.4963799283154,825.3545728793309,-6.858192951015553,232,232,103,0,8,737.0646198979496
2025-08-12,1585.4152150537634,1597.4083649940262,-11.99314994026281,387,387,121,1,8,1169.241660292498
2025-08-13,975.4833781362008,987.4395873122546,-11.956209176053903,290,290,118,2,8,1025.064034528053
2025-08-14,1095.6522043010752,1102.331803315412,-6.679599014336873,252,252,107,3,8,771.6812487054103
2025-08-15,1036.77208781362,1044.775679958184,-8.003592144563754,284,284,109,4,8,1016.8419069223036
2025-08-16,1016.1456362007168,1026.838704749104,-10.693068548387146,244,244,107,5,8,743.5668248026536
2025-08-17,483.7660931899642,489.47683115719406,-5.710737967229875,130,130,68,6,8,364.5239168446432
2025-08-18,967.957105734767,975.0895349249018,-7.132429190134872,274,274,113,0,8,937.10935017658
2025-08-19,1236.2863440860217,1243.187275985663,-6.900931899641591,317,317,113,1,8,1025.7258006324853
